Transaction_ID,Date,Cost_Center,GL_Account_Name,Account_Category,Vendor_Name,Budget_INR,Actual_INR
GL-449052,2024-08-24,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Prologis Warehousing,432478.63,429959.37
GL-157186,2024-04-20,Part Truckload (PTL),Material Handling Equipment (AGVs),CAPEX,AWS India,95921.78,99577.56
GL-712844,2025-03-07,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Reliance BP Mobility,213937.98,211435.9
GL-782186,2024-09-21,Supply Chain Services,Line-haul Costs (Fuel & Tolls),OPEX,Vanderlande Sorters,85031.91,81813.01
GL-526271,2025-09-21,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Prologis Warehousing,83920.78,79940.34
GL-254112,2025-03-13,Corporate HQ,IT Infrastructure (Servers),CAPEX,Local Fleet Operator A,282910.04,293934.65
GL-126005,2024-04-22,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Local Fleet Operator A,496737.53,481965.6
GL-788463,2025-06-25,Part Truckload (PTL),Automated Sorter Systems,CAPEX,Vanderlande Sorters,37806.22,38455.1
GL-581886,2024-04-29,Corporate HQ,Material Handling Equipment (AGVs),CAPEX,Indian Oil Corp,343199.43,337362.59
GL-480576,2025-10-20,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Vanderlande Sorters,399124.78,380072.12
GL-800820,2025-04-17,Cross-Border,Employee Benefit Expenses,OPEX,Indian Oil Corp,180040.85,174557.23
GL-414278,2025-11-12,Supply Chain Services,Employee Benefit Expenses,OPEX,Prologis Warehousing,468830.52,476336.92
GL-177838,2024-05-14,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Local Fleet Operator B,107517.36,112006.39
GL-433485,2025-04-24,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Prologis Warehousing,255416.21,263900.55
GL-897529,2025-08-21,Supply Chain Services,Automated Sorter Systems,CAPEX,Blue Yonder,137083.44,130519.81
GL-230211,2025-02-15,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Prologis Warehousing,292428.62,305783.62
GL-771249,2025-09-03,Corporate HQ,Automated Sorter Systems,CAPEX,AWS India,219263.38,229887.25
GL-666093,2024-05-13,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Prologis Warehousing,157042.8,153876.46
GL-160899,2025-06-09,Cross-Border,Freight Handling & Contract Labor,OPEX,Vanderlande Sorters,143013.53,139464.84
GL-789047,2025-05-18,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,AWS India,274559.39,285147.93
GL-855569,2025-11-03,Supply Chain Services,Automated Sorter Systems,CAPEX,AWS India,459770.14,466656.01
GL-671295,2025-10-12,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Local Fleet Operator A,179317.63,186559.14
GL-798284,2024-05-20,Supply Chain Services,Employee Benefit Expenses,OPEX,Blue Yonder,262517.59,254940.35
GL-839257,2025-01-27,Express Parcel (B2C),Automated Sorter Systems,CAPEX,Local Fleet Operator B,484189.02,506630.44
GL-636755,2024-11-26,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Blue Yonder,394080.71,393925.81
GL-322017,2024-07-22,Part Truckload (PTL),Material Handling Equipment (AGVs),CAPEX,AWS India,142791.95,143323.76
GL-833880,2024-05-21,Supply Chain Services,Material Handling Equipment (AGVs),CAPEX,Blue Yonder,135262.43,140612.58
GL-681184,2024-05-20,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Local Fleet Operator B,30982.33,34988.03
GL-177020,2025-04-05,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Reliance BP Mobility,238392.84,229406.23
GL-617490,2024-10-18,Corporate HQ,IT Infrastructure (Servers),CAPEX,Local Fleet Operator A,495418.14,485828.61
GL-934257,2025-10-26,Express Parcel (B2C),Automated Sorter Systems,CAPEX,Local Fleet Operator A,484699.53,489763.39
GL-729638,2024-08-18,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,AWS India,358729.86,357204.73
GL-852604,2024-05-30,Part Truckload (PTL),Employee Benefit Expenses,OPEX,Vanderlande Sorters,146710.71,146356.35
GL-519196,2024-06-25,Corporate HQ,Line-haul Costs (Fuel & Tolls),OPEX,Vanderlande Sorters,236447.38,225416.98
GL-289319,2026-01-11,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,AWS India,423562.21,435951.29
GL-741689,2025-07-18,Supply Chain Services,Freight Handling & Contract Labor,OPEX,Reliance BP Mobility,432532.88,433494.54
GL-666568,2025-10-26,Part Truckload (PTL),Facility Leases (Hubs & Gateways),OPEX,Blue Yonder,320310.15,317727.66
GL-263922,2024-05-10,Part Truckload (PTL),Employee Benefit Expenses,OPEX,AWS India,242081.54,234402.81
GL-331526,2025-07-04,Part Truckload (PTL),Automated Sorter Systems,CAPEX,Blue Yonder,135571.93,140810.03
GL-422528,2025-07-20,Supply Chain Services,Material Handling Equipment (AGVs),CAPEX,Local Fleet Operator A,495110.73,509805.06
GL-731326,2025-07-07,Part Truckload (PTL),Facility Leases (Hubs & Gateways),OPEX,Prologis Warehousing,169400.29,172072.51
GL-558990,2026-03-25,Supply Chain Services,Freight Handling & Contract Labor,OPEX,Local Fleet Operator A,199536.04,207704.85
GL-696436,2025-07-27,Part Truckload (PTL),Automated Sorter Systems,CAPEX,Vanderlande Sorters,204764.45,202423.84
GL-726099,2024-06-05,Part Truckload (PTL),Employee Benefit Expenses,OPEX,Blue Yonder,36713.6,37617.17
GL-125100,2025-12-17,Corporate HQ,Freight Handling & Contract Labor,OPEX,Reliance BP Mobility,205880.82,209498.31
GL-740687,2025-09-15,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Local Fleet Operator B,78551.77,76925.56
GL-416574,2025-07-12,Part Truckload (PTL),Automated Sorter Systems,CAPEX,Prologis Warehousing,473779.02,451704.51
GL-500863,2025-04-09,Express Parcel (B2C),Automated Sorter Systems,CAPEX,Blue Yonder,459748.89,458986.51
GL-258259,2026-02-13,Part Truckload (PTL),Employee Benefit Expenses,OPEX,Local Fleet Operator B,487005.69,498943.47
GL-999022,2025-06-01,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Reliance BP Mobility,76713.04,81820.1
GL-839653,2025-07-08,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Reliance BP Mobility,50922.95,49437.26
GL-189523,2025-11-20,Express Parcel (B2C),Automated Sorter Systems,CAPEX,Local Fleet Operator A,289763.27,295186.71
GL-535119,2024-10-02,Supply Chain Services,Material Handling Equipment (AGVs),CAPEX,Amazon Web Serv,469260.06,465507.64
GL-268162,2024-06-12,Supply Chain Services,Facility Leases (Hubs & Gateways),OPEX,Prologis Warehousing,330860.89,331852.42
GL-529815,2024-11-08,Express Parcel (B2C),Automated Sorter Systems,CAPEX,Local Fleet Operator A,431661.01,412548.53
GL-860124,2024-08-10,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Blue Yonder,299336.93,314223.53
GL-329570,2025-12-11,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Blue Yonder,61056.04,62060.03
GL-613981,2025-05-03,Part Truckload (PTL),Material Handling Equipment (AGVs),CAPEX,AWS India,476518.2,461216.95
GL-281617,2025-05-15,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Vanderlande Sorters,440336.62,436373.38
GL-964906,2025-01-10,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Local Fleet Operator A,29334.09,30494.6
GL-294559,2025-10-30,Part Truckload (PTL),Automated Sorter Systems,CAPEX,AWS India,41341.42,42801.91
GL-444701,2025-03-08,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Indian Oil Corp,50991.77,52368.68
GL-988639,2024-06-18,Cross-Border,Freight Handling & Contract Labor,OPEX,Local Fleet Operator A,337403.29,339867.57
GL-419143,2025-01-30,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Local Fleet Operator B,362998.15,353888.4
GL-507873,2024-07-12,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Local Fleet Operator A,208184.61,200199.62
GL-404298,2024-08-23,Part Truckload (PTL),Automated Sorter Systems,CAPEX,Prologis Warehousing,78081.45,74824.42
GL-239656,2024-11-17,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Blue Yonder,125109.24,131531.94
GL-821864,2026-01-16,Cross-Border,IT Infrastructure (Servers),CAPEX,Prologis Warehousing,417011.6,399780.47
GL-539284,2026-03-23,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Indian Oil Corp,207466.36,203343.81
GL-708264,2025-10-10,Express Parcel (B2C),Automated Sorter Systems,CAPEX,Prologis Warehousing,53641.86,55127.43
GL-988042,2025-06-06,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Indian Oil Corp,369993.39,360486.88
GL-889576,2025-05-09,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Vanderlande Sorters,399322.46,397726.81
GL-537225,2024-04-25,Cross-Border,Employee Benefit Expenses,OPEX,Vanderlande Sorters,316589.31,310330.96
GL-755399,2025-11-04,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Indian Oil Corp,389086.36,391357.02
GL-609315,2025-05-03,Express Parcel (B2C),IT Infrastructure (Servers),CAPEX,Reliance BP Mobility,493098.62,474182.81
GL-538175,2026-03-12,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Amazon Web Serv,285199.07,275400.15
GL-230069,2025-02-03,Corporate HQ,Employee Benefit Expenses,OPEX,Blue Yonder,338392.14,351911.74
GL-112158,2024-06-09,Supply Chain Services,Material Handling Equipment (AGVs),CAPEX,Local Fleet Operator A,165979.62,165428.83
GL-529182,2024-04-03,Express Parcel (B2C),IT Infrastructure (Servers),CAPEX,Local Fleet Operator A,178778.25,179745.33
GL-532430,2024-11-11,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Indian Oil Corp,161251.52,197301.42
GL-257403,2024-09-16,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Indian Oil Corp,483392.48,462453.53
GL-733157,2025-12-02,Part Truckload (PTL),Facility Leases (Hubs & Gateways),OPEX,Prologis Warehousing,479408.11,479011.21
GL-205259,2026-02-06,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Reliance BP Mobility,225198.63,219649.65
GL-376408,2025-07-09,Corporate HQ,Material Handling Equipment (AGVs),CAPEX,Vanderlande Sorters,100529.46,105171.44
GL-979105,2024-12-21,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Indian Oil Corp,143627.85,195573.37
GL-121391,2024-08-09,Corporate HQ,Material Handling Equipment (AGVs),CAPEX,AWS India,52984.21,53961.24
GL-797215,2024-06-29,Supply Chain Services,Facility Leases (Hubs & Gateways),OPEX,Local Fleet Operator B,43775.8,41801.67
GL-239228,2024-05-08,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Prologis Warehousing,257332.55,258013.97
GL-424413,2024-12-24,Express Parcel (B2C),Automated Sorter Systems,CAPEX,Blue Yonder,184129.92,191334.35
GL-217461,2024-12-07,Corporate HQ,Automated Sorter Systems,CAPEX,Local Fleet Operator B,174315.48,168803.6
GL-993753,2025-12-11,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Indian Oil Corp,402511.47,411999.85
GL-429617,2025-10-30,Part Truckload (PTL),Material Handling Equipment (AGVs),CAPEX,AWS India,220677.05,222653.37
GL-316816,2024-05-27,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Prologis Warehousing,48287.27,52905.0
GL-433178,2025-08-02,Express Parcel (B2C),Automated Sorter Systems,CAPEX,AWS India,188183.51,184065.25
GL-475377,2025-10-29,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Local Fleet Operator A,303655.1,295862.41
GL-589279,2024-06-12,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Local Fleet Operator B,18444.78,18074.54
GL-860180,2025-01-15,Part Truckload (PTL),Freight Handling & Contract Labor,OPEX,Vanderlande Sorters,492678.88,488196.77
GL-144267,2025-12-07,Part Truckload (PTL),Facility Leases (Hubs & Gateways),OPEX,Local Fleet Operator A,160469.09,155786.21
GL-569323,2025-02-17,Part Truckload (PTL),Automated Sorter Systems,CAPEX,Vanderlande Sorters,69576.65,72283.09
GL-234953,2026-03-31,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Local Fleet Operator A,316166.86,329769.38
GL-714359,2024-04-08,Part Truckload (PTL),Cloud Hosting (Orion Platform),OPEX,Local Fleet Operator A,10369.0,11368.01
GL-119997,2025-11-10,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Vanderlande Sorters,346439.1,381940.88
GL-717374,2024-11-23,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Blue Yonder,266391.48,271316.28
GL-503818,2024-05-12,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Local Fleet Operator A,165537.49,170093.17
GL-279544,2025-10-27,Express Parcel (B2C),IT Infrastructure (Servers),CAPEX,Blue Yonder,28859.2,30106.63
GL-231062,2024-09-10,Supply Chain Services,Line-haul Costs (Fuel & Tolls),OPEX,Blue Yonder,31411.14,30285.95
GL-311144,2026-02-03,Supply Chain Services,Cloud Hosting (Orion Platform),OPEX,Local Fleet Operator A,326620.66,373970.34
GL-181322,2025-10-07,Part Truckload (PTL),Employee Benefit Expenses,OPEX,Reliance BP Mobility,452224.19,459017.03
GL-571131,2025-02-10,Supply Chain Services,Cloud Hosting (Orion Platform),OPEX,Vanderlande Sorters,40191.05,46170.59
GL-488387,2025-10-23,Express Parcel (B2C),Automated Sorter Systems,CAPEX,Prologis Warehousing,367378.19,356615.18
GL-116568,2025-05-12,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Prologis Warehousing,168377.5,161700.86
GL-515570,2025-04-21,Part Truckload (PTL),Freight Handling & Contract Labor,OPEX,Blue Yonder,446937.96,457615.2
GL-150408,2024-04-04,Express Parcel (B2C),IT Infrastructure (Servers),CAPEX,Reliance BP Mobility,169095.27,160979.32
GL-549788,2024-05-11,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Local Fleet Operator B,397636.12,387570.92
GL-503531,2024-05-24,Cross-Border,Material Handling Equipment (AGVs),CAPEX,Local Fleet Operator B,340382.6,326828.06
GL-889202,2025-02-25,Corporate HQ,Cloud Hosting (Orion Platform),OPEX,Blue Yonder,453010.66,513695.37
GL-635528,2025-04-24,Corporate HQ,Cloud Hosting (Orion Platform),OPEX,Blue Yonder,214172.27,239489.71
GL-468533,2024-11-08,Supply Chain Services,Facility Leases (Hubs & Gateways),OPEX,Prologis Warehousing,175444.45,169832.47
GL-969497,2025-08-03,Supply Chain Services,Material Handling Equipment (AGVs),CAPEX,Local Fleet Operator B,369243.37,384432.49
GL-294260,2024-04-05,Supply Chain Services,Material Handling Equipment (AGVs),CAPEX,Indian Oil Corp,281018.54,292969.39
GL-814585,2026-01-04,Express Parcel (B2C),IT Infrastructure (Servers),CAPEX,Amazon Web Serv,337822.58,342362.68
GL-325655,2024-08-17,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Local Fleet Operator A,117611.97,121114.33
GL-329538,2024-07-10,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Indian Oil Corp,483523.69,494795.25
GL-316030,2024-12-29,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Prologis Warehousing,350905.34,388185.02
GL-400041,2025-02-01,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Local Fleet Operator A,359127.88,347450.03
GL-849061,2026-02-24,Supply Chain Services,Line-haul Costs (Fuel & Tolls),OPEX,Vanderlande Sorters,333452.92,321484.15
